,Item No.,Item Description,Quantity,UoM,Purchase Contract No,UPC Label,Packing,Unit Weight (KGS),Total Weight (KGS),Unit Cube (CBM),Total Cube (CBM),Supply Plan Id,Unit Price,Total Amount,Purchase Order Number,Grand_Quantity,Grand_Total Weight (KGS),Grand_Total Cube (CBM),Grand_Total Amount
0,BAM-1. 25-RV,"1-1/4qt Bain Marie, S/S","14,400",EA,,842169157054,6/48,13.47,"4,041.00",1.42,17.76,,$1.09,"$15,696.00",Order_FIRM029827_1702427630153,"28,320","9,029.00",40.19,"$33,374.40"
1,BAM-2- RV,"2qt Bain Marie, S/S","13,920",EA,,842169154428,6/48,17.2,"4,988.00",2.19,22.43,,$1.27,"$17,678.40",Order_FIRM029827_1702427630153,"28,320","9,029.00",40.19,"$33,374.40"
2,BHKF- 21,"21"" Basting Fork w/ Hook, 2mm, S/S",336,EA,,842169108636,6/48,10.25,71.75,0.38,0.15,CTR13429,$1.34,$450.24,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
3,BHON- 11,"Winco Prime 11"" S/ S Solid Basting Spoon with Plastic Hdl, NSF",504,EA,,842169130996,12/72,9.6,67.20,1.21,0.33,CTR13429,$0.83,$418.32,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
4,BHON- 13,"Winco Prime 13"" S/ S Solid Basting Spoon with Plastic Hdl, NSF","1,008",EA,,842169131009,12/72,10.4,145.60,1.51,0.77,CTR13429,$0.82,$826.56,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
5,BHON- 15,"Winco Prime 15"" S/ S Solid Basting Spoon with Plastic Hdl, NSF","1,008",EA,,842169131016,12/72,11,154.00,1.78,0.86,CTR13429,$0.89,$897.12,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
6,BHSN- 13,"Winco Prime 13"" S/ S Slotted Basting Spoon with Plastic Hdl, NSF",360,EA,,842169131986,12/72,9.6,48.00,1.39,0.27,CTR13429,$0.89,$320.40,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
7,BHSN- 15,"Winco Prime 15"" S/ S Slotted Basting Spoon with Plastic Hdl, NSF",144,EA,,842169131061,12/72,10.6,21.20,1.72,0.12,CTR13429,$0.96,$138.24,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
8,BSON- 11,"Winco Prime One- piece S/S 11"" Solid Basting Spoon, NSF",720,EA,,842169131078,12/72,8,80.00,0.59,0.18,CTR13429,$0.76,$547.20,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
9,BSON- 21,"Winco Prime One- piece S/S 21"" Solid Basting Spoon, NSF",288,EA,,842169131115,12/72,22.6,90.40,2.95,0.16,CTR13429,$1.97,$567.36,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
10,BSSN- 11,"Winco Prime One- piece S/S 11"" Slotted Basting Spoon, NSF",144,EA,,842169131160,12/72,7.5,15.00,0.37,0.03,CTR13429,$0.78,$112.32,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
11,FPSN- 4,"Winco Prime One- piece S/S 4oz Solid Food Portioner, Gray, NSF","1,800",EA,,842169131443,12/72,13,325.00,2.52,2.83,CTR13429,$0.94,"$1,692.00",FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
12,GBS-8,"8oz Gravy Boat, S/S","1,008",EA,,812944005412,12/36,6.12,171.36,0.61,0.88,CTR13429,$1.00,"$1,008.00",FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
13,INSN-2 .5,"Winco Prime 2.5qt S/S Inset, NSF",144,EA,,842169131528,6/36,17.6,70.40,3.00,0.33,CTR13429,$2.87,$413.28,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
14,LDCN- 1,"Winco Prime One- piece S/S 1oz Ladle, Black, NSF",360,EA,Purchase Contract #35637746156,842169131313,12/72,8.9,44.50,0.91,0.15,CTR13429,$1.07,$385.20,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
15,LDCN- 6K,"Winco Prime One- piece S/S 6oz Ladle, Black, NSF",216,EA,,842169131405,12/72,19,57.00,4.65,0.32,CTR13429,$1.80,$388.80,FIRM030428,"10,308","2,101.13",14.71,"$12,915.48"
